Date,exchange_rate,exchange_rate_var
1999-01-31,1.501915,
1999-02-28,1.9136833333333334,27.416220846940973
1999-03-31,1.8968217391304347,-0.8811068116232446
1999-04-30,1.6940684210526316,-10.689107673910991
1999-05-31,1.6835142857142857,-0.6230052580631806
1999-06-30,1.7654190476190474,4.8651064383460785
1999-07-31,1.8003136363636365,1.9765612471243088
1999-08-31,1.88075,4.467908369501261
1999-09-30,1.8980571428571429,0.9202255938930204
1999-10-31,1.96951,3.7645261319845913
1999-11-30,1.9298899999999999,-2.011667876781542
1999-12-31,1.8428304347826088,-4.511115411624034
2000-01-31,1.8037238095238095,-2.1220956915340095
2000-02-29,1.7752904761904762,-1.5763684652385757
2000-03-31,1.7420333333333335,-1.8733352824889749
2000-04-30,1.7681684210526314,1.5002633542774424
2000-05-31,1.8279318181818183,3.379960665376447
2000-06-30,1.8083285714285713,-1.0724276780052833
2000-07-31,1.7978238095238095,-0.5809100221461971
2000-08-31,1.8092391304347826,0.6349521488424825
2000-09-30,1.8391899999999999,1.655440072093728
2000-10-31,1.8796380952380953,2.199234186685195
2000-11-30,1.94801,3.6375036734528354
2000-12-31,1.96325,0.7823368463200975
2001-01-31,1.954509090909091,-0.4452264913235138
2001-02-28,2.0018555555555557,2.422422329304319
2001-03-31,2.08905,4.355681118073762
2001-04-30,2.192455,4.949857590770934
2001-05-31,2.297231818181818,4.778972347519939
2001-06-30,2.375825,3.4212124869655414
2001-07-31,2.466022727272727,3.7964802657067365
2001-08-31,2.510630434782609,1.808892797967654
2001-09-30,2.671663157894737,6.41403533077427
2001-10-31,2.740172727272727,2.564304155467556
2001-11-30,2.543065,-7.1932592172358145
2001-12-31,2.3627,-7.092425871930141
2002-01-31,2.377931818181818,0.644678468778026
2002-02-28,2.4196,1.752286650928525
2002-03-31,2.346645,-3.015167796329965
2002-04-30,2.3204,-1.1184052125481347
2002-05-31,2.4803619047619048,6.893721115407048
2002-06-30,2.713975,9.41850843578893
2002-07-31,2.9346347826086956,8.130501666695356
2002-08-31,3.110109090909091,5.9794257650149785
2002-09-30,3.3420428571428573,7.457415783636434
2002-10-31,3.8059304347826086,13.88035993159984
2002-11-30,3.5764000000000005,-6.030862589734087
2002-12-31,3.6259190476190475,1.3846059618344508
2003-01-31,3.4383545454545454,-5.172881680512587
2003-02-28,3.590755,4.432365904409874
2003-03-31,3.44688947368421,-4.006553672299839
2003-04-30,3.1186700000000003,-9.52219315966033
2003-05-31,2.955742857142857,-5.224250813877173
2003-06-30,2.8832050000000002,-2.4541328745009583
2003-07-31,2.8798304347826083,-0.11704215334643608
2003-08-31,3.002542857142857,4.261098878535607
2003-09-30,2.9228454545454543,-2.6543302257221013
2003-10-31,2.8615,-2.0988264860207773
2003-11-30,2.9138,1.8277127380744496
2003-12-31,2.9252545454545453,0.39311364728344955
2004-01-31,2.8518333333333334,-2.509908487632251
2004-02-29,2.930311111111111,2.7518360508834494
2004-03-31,2.9054565217391306,-0.8481894389212541
2004-04-30,2.9059850000000003,0.018189164316018136
2004-05-31,3.100419047619048,6.69081387615722
2004-06-30,3.1291476190476186,0.9266028555279471
2004-07-31,3.0367772727272726,-2.9519331641010838
2004-08-31,3.0029136363636364,-1.11511755135153
2004-09-30,2.891147619047619,-3.7219191375533422
2004-10-31,2.852855,-1.3244781689920493
2004-11-30,2.78604,-2.342039816254249
2004-12-31,2.7181608695652173,-2.436401861953974
2005-01-31,2.6930238095238095,-0.9247819112865319
2005-02-28,2.597838888888889,-3.5344997804438782
2005-03-31,2.7047363636363637,4.114861595331476
2005-04-30,2.57918,-4.642092490950223
2005-05-31,2.452814285714286,-4.899453093065009
2005-06-30,2.4135136363636365,-1.602267631085852
2005-07-31,2.3735095238095236,-1.6575051390381068
2005-08-31,2.3606304347826086,-0.5426179628823968
2005-09-30,2.2944095238095237,-2.8052214356536154
2005-10-31,2.25645,-1.6544354185950905
2005-11-30,2.2108350000000003,-2.0215382569966023
2005-12-31,2.285481818181818,3.376408378816964
2006-01-31,2.273868181818182,-0.5081482718981012
2006-02-28,2.161922222222222,-4.923150800520382
2006-03-31,2.1519608695652175,-0.4607636923573244
2006-04-30,2.1292888888888886,-1.0535498575728997
2006-05-31,2.1781,2.292366778684607
2006-06-30,2.2482904761904763,3.2225552633247334
2006-07-31,2.1892809523809524,-2.62463967331793
2006-08-31,2.155882608695652,-1.5255394082234086
2006-09-30,2.168745,0.5966183526165958
2006-10-31,2.1482809523809525,-0.9435893855223809
2006-11-30,2.1579,0.4477555697911306
2006-12-31,2.14992,-0.36980397608787907
2007-01-31,2.1384772727272727,-0.5322396774171678
2007-02-28,2.09625,-1.9746421094024025
2007-03-31,2.0886772727272724,-0.36125115194883817
2007-04-30,2.032035,-2.711872890411271
2007-05-31,1.9816136363636365,-2.481323581353845
2007-06-30,1.93187,-2.5102590863736007
2007-07-31,1.8828181818181817,-2.5390848339597483
2007-08-31,1.9660130434782608,4.418634919901843
2007-09-30,1.899578947368421,-3.3791279427274223
2007-10-31,1.8010409090909092,-5.187362094848513
2007-11-30,1.769925,-1.7276625385824973
2007-12-31,1.7859850000000002,0.9073830812040162
2008-01-31,1.774259090909091,-0.6565513759023256
2008-02-29,1.727742105263158,-2.6217696098769117
2008-03-31,1.70758,-1.1669626619469908
2008-04-30,1.6889285714285716,-1.092272606345157
2008-05-31,1.660535,-1.6811588073588513
2008-06-30,1.618857142857143,-2.509905370429233
2008-07-31,1.5914130434782607,-1.6952761705980923
2008-08-31,1.6123142857142858,1.3133763306565793
