Date,bcb_expected_inflation
2019-10-01,3.3333333333333335
2019-11-01,3.466666666666667
2019-12-01,3.6
2020-01-01,3.566666666666667
2020-02-01,3.533333333333333
2020-03-01,3.5
2020-04-01,3.533333333333333
2020-05-01,3.566666666666667
2020-06-01,3.6
2020-07-01,3.3333333333333335
2020-08-01,3.0666666666666664
2020-09-01,2.8
2020-10-01,3.0
2020-11-01,3.1999999999999997
2020-12-01,3.4
2021-01-01,3.5666666666666664
2021-02-01,3.7333333333333334
2021-03-01,3.9
2021-04-01,3.7666666666666666
2021-05-01,3.6333333333333333
2021-06-01,3.5
2021-07-01,3.6333333333333333
2021-08-01,3.7666666666666666
2021-09-01,3.9
2021-10-01,4.166666666666667
2021-11-01,4.433333333333334
2021-12-01,4.7
2022-01-01,4.666666666666667
2022-02-01,4.633333333333333
2022-03-01,4.6
2022-04-01,4.933333333333333
2022-05-01,5.266666666666667
2022-06-01,5.6
2022-07-01,5.566666666666666
2022-08-01,5.533333333333333
2022-09-01,5.5
2022-10-01,5.333333333333333
2022-11-01,5.166666666666667
2022-12-01,5.0
2023-01-01,4.866666666666666
2023-02-01,4.733333333333333
2023-03-01,4.6
2023-04-01,4.433333333333333
2023-05-01,4.266666666666667
2023-06-01,4.1
2023-07-01,3.933333333333333
2023-08-01,3.7666666666666666
2023-09-01,3.6
2023-10-01,3.566666666666667
2023-11-01,3.533333333333333
2023-12-01,3.5
2024-01-01,3.3666666666666667
2024-02-01,3.2333333333333334
2024-03-01,3.1
2024-04-01,3.1666666666666665
2024-05-01,3.2333333333333334
2024-06-01,3.3
2024-07-01,3.3666666666666667
2024-08-01,3.433333333333333
2024-09-01,3.5
2024-10-01,3.8333333333333335
2024-11-01,4.166666666666667
2024-12-01,4.5
2025-01-01,4.433333333333334
2025-02-01,4.366666666666666
2025-03-01,4.3
2025-04-01,4.266666666666667
2025-05-01,4.233333333333333
2025-06-01,4.2
2025-07-01,4.133333333333334
2025-08-01,4.066666666666666
2025-09-01,4.0
2025-10-01,3.8333333333333335
2025-11-01,3.6666666666666665
2025-12-01,3.5
