Date,output,output_potential,output_gap
2002-01-01,90.77394,89.92116743942952,0.8527725605704717
2002-02-01,92.74536,90.24545460894633,2.499905391053673
2002-03-01,92.44685,90.56974835849823,1.877101641501767
2002-04-01,92.60693,90.89407455751375,1.7128554424862585
2002-05-01,92.58792,91.21847355923042,1.369446440769579
2002-06-01,92.84222,91.54299893336294,1.2992210666370596
2002-07-01,93.20652,91.86771481634236,1.338805183657641
2002-08-01,92.37076,92.19269536945366,0.17806463054634492
2002-09-01,92.73243,92.51802508426873,0.21440491573126508
2002-10-01,93.14023,92.84378982631496,0.29644017368504194
2002-11-01,93.02108,93.1700771154786,-0.1489971154786076
2002-12-01,92.7112,93.49697675899294,-0.7857767589929381
2003-01-01,93.05868,93.82457741442221,-0.7658974144222128
2003-02-01,92.64431,94.15296167623836,-1.5086516762383582
2003-03-01,92.44473,94.48220622921109,-2.03747622921108
2003-04-01,92.29938,94.81237611727923,-2.5129961172792292
2003-05-01,90.94012,95.1435206631144,-4.203400663114408
2003-06-01,91.44546,95.47566979898613,-4.030209798986135
2003-07-01,90.64099,95.8088210235168,-5.167831023516797
2003-08-01,91.90913,96.14294073803102,-4.233810738031011
2003-09-01,94.53327,96.47795546861398,-1.944685468613983
2003-10-01,94.98237,96.81375907305814,-1.8313890730581335
2003-11-01,95.97502,97.15023040386681,-1.1752104038668136
2003-12-01,94.51718,97.48723418245483,-2.970054182454831
2004-01-01,96.38548,97.82462606225545,-1.4391460622554462
2004-02-01,97.86623,98.16223877961727,-0.29600877961726724
2004-03-01,98.48589,98.49989396636681,-0.01400396636681478
2004-04-01,99.26207,98.83741097031218,0.42465902968781677
2004-05-01,100.12512,99.17460903120624,0.9505109687937505
2004-06-01,100.50215,99.51131066549192,0.990839334508081
2004-07-01,101.21682,99.84734572380168,1.3694742761983179
2004-08-01,102.30943,100.18255170213324,2.1268782978667673
2004-09-01,102.68582,100.51677666341544,2.169043336584565
2004-10-01,102.09948,100.84988508167508,1.2495949183249166
2004-11-01,102.05578,101.18175816738447,0.8740218326155258
2004-12-01,102.69571,101.51228677295201,1.1834232270479959
2005-01-01,103.24638,101.84136849478179,1.4050115052182122
2005-02-01,101.84251,102.1689100606299,-0.3264000606298936
2005-03-01,102.83822,102.49482903939052,0.34339096060948293
2005-04-01,102.87626,102.81904048143892,0.05721951856108376
2005-05-01,106.43452,103.14146208677198,3.2930579132280258
2005-06-01,104.19472,103.46201199689524,0.7327080031047615
2005-07-01,103.5976,103.78063376271183,-0.1830337627118297
2005-08-01,103.6814,104.09727658873597,-0.4158765887359692
2005-09-01,102.96555,104.41188826718448,-1.4463382671844869
2005-10-01,102.48186,104.72441338134999,-2.2425533813499925
2005-11-01,103.44707,105.03478535450753,-1.5877153545075373
2005-12-01,105.17228,105.34292030627954,-0.1706403062795374
2006-01-01,105.63701,105.64872210539832,-0.011712105398316908
2006-02-01,106.45305,105.95209330392713,0.5009566960728762
2006-03-01,105.87072,106.25293636355805,-0.3822163635580438
2006-04-01,106.34841,106.55115761138981,-0.20274761138981034
2006-05-01,107.08331,106.84666042532078,0.23664957467921965
2006-06-01,105.75071,107.13934661883873,-1.3886366188387314
2006-07-01,106.57162,107.42911983143117,-0.8574998314311699
