Date,focus_expected_inflation,Infl. 12 m suav.,Infl. meses 13-24,Infl. meses 13-24 suav.,bcb_expected_inflation,selic_target,exchange_rate,exchange_rate_var,output,output_potential,output_gap,inflation_target,interval_size,upper_limit,lower_limit,inflation_12m,ano,mes,inflation_target_next,bcb_inflation_deviation,focus_inflation_deviation
2002-01,4.83,4.84,,,,19.0,2.377931818181818,0.644678468778026,90.77394,89.92116743942952,0.8527725605704717,3.5,2.0,5.5,1.5,7.62,2002,1,8.5,,0.9133333333333334
2002-02,4.63,4.62,,,,18.75,2.4196,1.752286650928525,92.74536,90.24545460894633,2.499905391053673,3.5,,,,7.51,2002,2,8.5,,0.29666666666666663
2002-03,4.76,4.76,,,3.6,18.5,2.346645,-3.015167796329965,92.44685,90.56974835849823,1.877101641501767,3.5,,,,7.75,2002,3,8.5,-1.15,0.009999999999999787
2002-04,4.92,4.85,,,3.7333333333333334,18.5,2.3204,-1.1184052125481347,92.60693,90.89407455751375,1.7128554424862585,3.5,,,,7.98,2002,4,8.5,-1.4333333333333331,-0.2466666666666668
2002-05,4.44,4.42,,,3.8666666666666667,18.5,2.4803619047619048,6.893721115407048,92.58792,91.21847355923042,1.369446440769579,3.5,,,,7.77,2002,5,8.5,-1.7166666666666663,-1.143333333333333
2002-06,4.34,4.54,,,4.0,18.5,2.713975,9.41850843578893,92.84222,91.54299893336294,1.2992210666370596,3.5,,,,7.66,2002,6,8.5,-2.0,-1.6600000000000001
2002-07,4.83,4.7,,,4.4,18.0,2.9346347826086956,8.130501666695356,93.20652,91.86771481634236,1.338805183657641,3.5,,,,7.51,2002,7,8.5,-2.0166666666666666,-1.586666666666667
2002-08,5.27,5.22,,,4.8,18.0,3.110109090909091,5.9794257650149785,92.37076,92.19269536945366,0.17806463054634492,3.5,,,,7.46,2002,8,8.5,-2.0333333333333337,-1.5633333333333335
2002-09,5.54,5.53,,,5.2,18.0,3.3420428571428573,7.457415783636434,92.73243,92.51802508426873,0.21440491573126508,3.5,,,,7.93,2002,9,8.5,-2.05,-1.7099999999999997
2002-10,8.03,8.07,,,6.633333333333334,21.0,3.8059304347826086,13.88035993159984,93.14023,92.84378982631496,0.29644017368504194,3.5,,,,8.45,2002,10,8.5,-1.0333333333333332,0.3633333333333327
2002-11,11.01,10.74,,,8.066666666666666,22.0,3.5764000000000005,-6.030862589734087,93.02108,93.1700771154786,-0.1489971154786076,3.5,,,,10.93,2002,11,8.5,-0.016666666666666885,2.926666666666666
2002-12,12.49,12.17,,,9.5,25.0,3.6259190476190475,1.3846059618344508,92.7112,93.49697675899294,-0.7857767589929381,3.5,,,,12.53,2002,12,8.5,1.0,3.99
2003-01,11.58,11.08,,,8.566666666666666,25.5,3.4383545454545454,-5.172881680512587,93.05868,93.82457741442221,-0.7658974144222128,8.5,2.5,11.0,6.0,14.47,2003,1,5.5,0.31666666666666643,3.33
2003-02,10.71,10.47,,,7.633333333333334,26.5,3.590755,4.432365904409874,92.64431,94.15296167623836,-1.5086516762383582,8.5,,,,15.85,2003,2,5.5,-0.36666666666666625,2.710000000000001
2003-03,9.72,9.65,,,6.7,26.5,3.44688947368421,-4.006553672299839,92.44473,94.48220622921109,-2.03747622921108,8.5,,,,16.57,2003,3,5.5,-1.0499999999999998,1.9700000000000006
