Date,Infl. 12 m,Infl. 12 m suav.
04/01/2010,4.3900,4.4500
05/01/2010,4.3900,4.4600
06/01/2010,4.3900,4.4700
07/01/2010,4.3900,4.4700
08/01/2010,4.3900,4.4700
11/01/2010,4.4000,4.4900
12/01/2010,4.4300,4.5000
13/01/2010,4.5000,4.4900
14/01/2010,4.5000,4.4800
15/01/2010,4.5000,4.4700
18/01/2010,4.5200,4.4700
19/01/2010,4.5200,4.4600
20/01/2010,4.5400,4.4700
21/01/2010,4.5900,4.5100
22/01/2010,4.6100,4.5100
25/01/2010,4.6500,4.5100
26/01/2010,4.6500,4.5100
27/01/2010,4.6400,4.5100
28/01/2010,4.6200,4.5000
29/01/2010,4.6500,4.5100
01/02/2010,4.6500,4.5100
02/02/2010,4.6500,4.5100
03/02/2010,4.6500,4.5000
04/02/2010,4.6600,4.5000
05/02/2010,4.5000,4.5000
08/02/2010,4.5000,4.4900
09/02/2010,4.5200,4.5100
10/02/2010,4.5200,4.5200
11/02/2010,4.5000,4.5000
12/02/2010,4.5000,4.4900
17/02/2010,4.5100,4.4800
18/02/2010,4.5600,4.4700
19/02/2010,4.5600,4.4900
22/02/2010,4.6400,4.5100
23/02/2010,4.6400,4.5100
24/02/2010,4.6500,4.5000
25/02/2010,4.6500,4.4900
26/02/2010,4.6500,4.4900
01/03/2010,4.6600,4.4800
02/03/2010,4.6700,4.4700
03/03/2010,4.6700,4.4600
04/03/2010,4.6800,4.4600
05/03/2010,4.4900,4.4900
08/03/2010,4.5000,4.4700
09/03/2010,4.5700,4.5400
10/03/2010,4.5800,4.5600
11/03/2010,4.5800,4.5500
12/03/2010,4.5700,4.5500
15/03/2010,4.5600,4.5600
16/03/2010,4.5700,4.5600
17/03/2010,4.5700,4.5500
18/03/2010,4.6000,4.5800
19/03/2010,4.6400,4.6000
22/03/2010,4.6800,4.6200
23/03/2010,4.6800,4.6100
24/03/2010,4.7200,4.6200
25/03/2010,4.7100,4.6100
26/03/2010,4.7200,4.6400
29/03/2010,4.7200,4.6200
30/03/2010,4.7200,4.6200
31/03/2010,4.7200,4.6200
01/04/2010,4.7200,4.6300
05/04/2010,4.7200,4.6300
06/04/2010,4.7500,4.6300
07/04/2010,4.7500,4.6200
08/04/2010,4.6200,4.6200
09/04/2010,4.7000,4.6900
12/04/2010,4.7100,4.6900
13/04/2010,4.7100,4.6900
14/04/2010,4.7100,4.6900
15/04/2010,4.7300,4.6900
16/04/2010,4.7700,4.7200
19/04/2010,4.8100,4.7400
20/04/2010,4.8200,4.7400
22/04/2010,4.8200,4.7300
23/04/2010,4.8300,4.7300
26/04/2010,4.8600,4.7600
27/04/2010,4.8500,4.7400
28/04/2010,4.8500,4.7400
29/04/2010,4.8400,4.7200
30/04/2010,4.8400,4.7200
03/05/2010,4.8400,4.7500
04/05/2010,4.8400,4.7500
05/05/2010,4.8400,4.7400
06/05/2010,4.8400,4.7400
07/05/2010,4.8000,4.8300
10/05/2010,4.7800,4.8200
11/05/2010,4.8000,4.8300
12/05/2010,4.8200,4.8200
13/05/2010,4.8000,4.8100
14/05/2010,4.8100,4.8100
17/05/2010,4.8000,4.8000
18/05/2010,4.8400,4.8000
19/05/2010,4.8500,4.8300
20/05/2010,4.8500,4.8200
21/05/2010,4.8400,4.8100
24/05/2010,4.8400,4.7900
25/05/2010,4.8400,4.7900
26/05/2010,4.8400,4.7800
27/05/2010,4.8400,4.7800
28/05/2010,4.8400,4.7600
31/05/2010,4.8500,4.7600
01/06/2010,4.8700,4.7600
02/06/2010,4.8900,4.7500
04/06/2010,4.8500,4.7200
07/06/2010,4.8900,4.7200
08/06/2010,4.8900,4.7100
09/06/2010,4.7200,4.7200
10/06/2010,4.7200,4.7200
11/06/2010,4.7600,4.7600
14/06/2010,4.7600,4.7600
15/06/2010,4.7800,4.8000
16/06/2010,4.7400,4.7400
17/06/2010,4.7700,4.8000
18/06/2010,4.7900,4.8300
21/06/2010,4.7000,4.7800
22/06/2010,4.7000,4.7800
23/06/2010,4.7000,4.7900
24/06/2010,4.7000,4.8000
25/06/2010,4.7000,4.8200
28/06/2010,4.7000,4.8300
29/06/2010,4.7000,4.8400
30/06/2010,4.7000,4.8500
01/07/2010,4.7000,4.8500
02/07/2010,4.6900,4.8600
05/07/2010,4.6900,4.8800
06/07/2010,4.6900,4.8900
07/07/2010,4.9000,4.8900
08/07/2010,4.9000,4.8900
09/07/2010,4.9000,4.9000
12/07/2010,4.9000,4.9000
13/07/2010,4.9200,4.9800
14/07/2010,4.9200,4.9900
15/07/2010,4.9300,5.0100
16/07/2010,4.8800,4.9600
19/07/2010,4.8300,4.9100
20/07/2010,4.8000,4.9200
21/07/2010,4.8000,4.9300
22/07/2010,4.8000,4.9300
23/07/2010,4.8200,4.9300
26/07/2010,4.8300,4.9600
27/07/2010,4.8300,4.9600
28/07/2010,4.8300,4.9700
29/07/2010,4.8300,4.9800
30/07/2010,4.8000,4.9700
02/08/2010,4.8300,5.0300
03/08/2010,4.8300,5.0300
04/08/2010,4.8000,5.0300
05/08/2010,4.7700,5.0400
06/08/2010,5.0200,5.0000
09/08/2010,4.9700,4.9600
10/08/2010,4.9700,4.9700
11/08/2010,4.9700,4.9700
12/08/2010,4.9700,4.9800
13/08/2010,4.9600,4.9800
16/08/2010,4.9500,4.9800
17/08/2010,4.9600,4.9900
18/08/2010,4.9600,4.9700
19/08/2010,4.9300,4.9700
20/08/2010,4.9100,4.9700
23/08/2010,4.9100,4.9700
24/08/2010,4.9100,4.9700
25/08/2010,4.9100,4.9800
26/08/2010,4.9100,4.9900
27/08/2010,4.9000,4.9900
30/08/2010,4.8900,5.0100
31/08/2010,4.9000,5.0200
01/09/2010,4.9000,5.0300
02/09/2010,4.8800,5.0400
03/09/2010,4.8800,5.0300
06/09/2010,4.8700,5.0500
08/09/2010,4.8700,5.0600
09/09/2010,5.0700,5.0700
10/09/2010,5.0800,5.0600
13/09/2010,5.0900,5.0800
14/09/2010,5.0900,5.0900
15/09/2010,5.0900,5.0900
16/09/2010,5.1200,5.1100
17/09/2010,5.1200,5.1200
20/09/2010,5.2000,5.1600
21/09/2010,5.2100,5.1600
22/09/2010,5.2100,5.1500
23/09/2010,5.2200,5.1500
24/09/2010,5.2200,5.1500
27/09/2010,5.2200,5.1400
28/09/2010,5.2100,5.1400
29/09/2010,5.2100,5.1400
30/09/2010,5.2300,5.1400
01/10/2010,5.2400,5.1600
04/10/2010,5.2200,5.1200
05/10/2010,5.2500,5.1500
06/10/2010,5.2600,5.1500
07/10/2010,5.1500,5.1400
08/10/2010,5.1700,5.1600
11/10/2010,5.1700,5.1400
13/10/2010,5.2200,5.1800
14/10/2010,5.2200,5.1600
15/10/2010,5.2200,5.1600
18/10/2010,5.2400,5.1500
19/10/2010,5.2900,5.1800
20/10/2010,5.3500,5.1900
21/10/2010,5.3500,5.1800
22/10/2010,5.3500,5.1700
25/10/2010,5.3500,5.1300
26/10/2010,5.3500,5.1200
27/10/2010,5.3500,5.1100
28/10/2010,5.3600,5.1700
29/10/2010,5.3700,5.1600
01/11/2010,5.3800,5.1600
03/11/2010,5.3800,5.1400
04/11/2010,5.3800,5.1400
05/11/2010,5.3800,5.1400
08/11/2010,5.3800,5.1000
09/11/2010,5.1200,5.1100
10/11/2010,5.1900,5.1800
11/11/2010,5.2300,5.2200
12/11/2010,5.2300,5.2100
16/11/2010,5.2100,5.1500
17/11/2010,5.2100,5.1400
18/11/2010,5.3300,5.2400
19/11/2010,5.3500,5.2400
22/11/2010,5.4200,5.2900
23/11/2010,5.4300,5.2800
24/11/2010,5.4300,5.2800
25/11/2010,5.4700,5.3200
26/11/2010,5.5300,5.3500
29/11/2010,5.5400,5.3100
30/11/2010,5.6200,5.3600
01/12/2010,5.6200,5.3600
02/12/2010,5.6300,5.3500
03/12/2010,5.6400,5.3700
06/12/2010,5.7100,5.3600
07/12/2010,5.7300,5.3600
08/12/2010,5.3800,5.3700
09/12/2010,5.4000,5.3900
10/12/2010,5.4000,5.3800
13/12/2010,5.4000,5.3700
14/12/2010,5.4200,5.3700
15/12/2010,5.4000,5.3600
16/12/2010,5.4000,5.3400
17/12/2010,5.4600,5.4000
20/12/2010,5.5300,5.4600
21/12/2010,5.5300,5.4300
22/12/2010,5.5300,5.4200
23/12/2010,5.5200,5.3900
24/12/2010,5.5100,5.3900
27/12/2010,5.5100,5.3700
28/12/2010,5.5300,5.3800
29/12/2010,5.5300,5.3600
30/12/2010,5.5100,5.3500
31/12/2010,5.5100,5.3500
03/01/2011,5.5300,5.3200
04/01/2011,5.5300,5.3200
05/01/2011,5.5300,5.3100
06/01/2011,5.5300,5.3100
07/01/2011,5.3400,5.3500
10/01/2011,5.3500,5.3700
11/01/2011,5.3800,5.3700
12/01/2011,5.3800,5.3700
13/01/2011,5.3800,5.4000
14/01/2011,5.4200,5.4700
17/01/2011,5.4700,5.4600
18/01/2011,5.5000,5.4700
19/01/2011,5.5000,5.4600
20/01/2011,5.5300,5.4900
21/01/2011,5.5300,5.4900
24/01/2011,5.5500,5.5000
25/01/2011,5.5700,5.5100
26/01/2011,5.5700,5.5100
27/01/2011,5.5800,5.5300
28/01/2011,5.6400,5.5300
31/01/2011,5.6700,5.5100
01/02/2011,5.6700,5.5100
02/02/2011,5.6500,5.5000
03/02/2011,5.6400,5.4800
04/02/2011,5.6600,5.4800
07/02/2011,5.6700,5.4500
08/02/2011,5.4500,5.4500
09/02/2011,5.4700,5.4500
10/02/2011,5.4800,5.4500
11/02/2011,5.4900,5.4600
